team,strength
Real Madrid,0.85
Barcelona,0.82
Manchester City,0.88
Liverpool,0.84
Bayern Munich,0.86
Paris Saint-Germain,0.80
Inter Milan,0.78
AC Milan,0.76
Juventus,0.75
Atletico Madrid,0.74
Borussia Dortmund,0.73
Chelsea,0.72
Arsenal,0.71
Tottenham,0.68
Manchester United,0.70
Napoli,0.69
Roma,0.67
Lazio,0.65
Sevilla,0.64
Real Sociedad,0.63
Villarreal,0.62
Athletic Bilbao,0.61
Real Betis,0.60
Valencia,0.58
Celta Vigo,0.57
Getafe,0.55
Osasuna,0.54
Rayo Vallecano,0.53
Mallorca,0.52
Girona,0.51
Almeria,0.50
Cadiz,0.49
Valladolid,0.48
Elche,0.47
Espanyol,0.46
Leganes,0.45
