Team,Last_Form_Pts,Last_Goals_Scored_Avg,Last_Goals_Conceded_Avg,Last_Over25_Rate,Last_BTTS_Rate
AEK,9.0,2.4,0.6,0.4,0.6
AFC Wimbledon,10.0,1.0,0.8,0.2,0.2
AVS,9.0,1.6,1.0,0.6,0.8
AZ Alkmaar,13.0,3.0,1.2,0.6,0.8
Aberdeen,4.0,0.4,1.4,0.4,0.2
Academico Viseu,7.0,1.0,1.4,0.6,0.4
Accrington,4.0,1.6,2.2,0.8,0.8
Airdrie Utd,6.0,1.4,2.0,0.8,0.8
Ajaccio,4.0,0.3,2.4,0.7,
Ajax,10.0,2.8,1.2,0.8,0.6
Alanyaspor,8.0,1.2,1.0,0.4,0.6
Alaves,10.0,2.2,1.0,0.6,0.6
Albacete,1.0,0.6,1.6,0.4,0.6
Albion FC,0.0,0.8,2.0,0.6,0.6
Aldosivi,4.0,1.6,2.0,0.8,0.8
Alianza FC,4.0,0.4,1.8,0.4,0.2
Alloa,4.0,1.1,2.2,0.7,
Almere City,1.0,0.9,1.8,0.4,
Almeria,9.0,1.6,0.8,0.4,0.2
Alverca,5.0,1.6,1.8,0.8,1.0
Amedspor,10.0,2.4,1.0,0.8,0.4
Amiens,0.0,0.6,2.8,0.6,0.4
América,12.0,2.6,1.0,0.8,0.4
América Mineiro,6.0,1.0,1.8,0.6,0.4
América de Cali,8.0,1.8,1.0,0.6,0.4
Anderlecht,7.0,0.4,0.8,0.2,0.0
Andorra,3.0,1.6,2.0,0.6,0.6
Angers,5.0,1.0,1.2,0.4,0.6
Annecy,7.0,1.4,1.4,0.6,0.8
Antalyaspor,4.0,0.6,1.6,0.2,0.2
Antwerp,4.0,1.8,2.4,0.8,0.6
Arbroath,8.0,0.8,1.2,0.4,0.4
Arezzo,6.0,1.25,2.25,0.75,0.5
Argentinos Juniors,6.0,0.8,1.0,0.2,0.6
Aris,9.0,1.6,2.0,0.8,0.4
Arouca,7.0,1.4,1.0,0.6,0.4
Arsenal,15.0,2.0,0.4,0.6,0.4
Ascoli,7.0,1.0,0.75,0.25,0.5
Asteras Tripolis,4.0,0.8,1.6,0.4,0.6
Aston Villa,4.0,0.6,1.6,0.6,0.4
Atalanta,7.0,1.2,1.2,0.6,0.8
Ath Bilbao,7.0,1.4,1.2,0.4,0.4
Ath Madrid,10.0,2.0,1.2,0.8,0.4
Athletic,6.0,1.8,1.8,0.8,0.4
Athletico-PR,6.0,2.2,2.4,0.8,1.0
Atl. Madrid,3.0,2.0,0.0,0.0,0.0
Atlanta United FC,5.0,1.2,1.6,0.6,0.6
Atlante,3.0,0.4,1.4,0.2,0.4
Atlas,7.0,1.6,2.0,0.6,0.8
Atlético Bucaramanga,9.0,1.6,1.0,0.4,0.8
Atlético Goianiense,13.0,2.4,0.6,0.8,0.4
Atlético Junior,3.0,1.4,2.0,0.4,0.8
Atlético Nacional,12.0,2.2,0.8,0.6,0.6
Atlético Tucumán,8.0,0.8,0.6,0.4,0.4
Atlético de San Luis,4.0,0.8,2.0,0.6,0.4
Atlético-MG,10.0,1.6,0.8,0.6,0.4
Atromitos,5.0,1.8,1.0,0.4,0.6
Aucas,9.0,0.8,0.4,0.0,0.4
Audax Italiano,8.0,0.8,1.2,0.2,0.4
Augsburg,10.0,2.4,1.6,1.0,0.6
Austin,9.0,1.4,1.0,0.4,1.0
Auxerre,6.0,1.4,2.2,0.6,0.6
Avaí,4.0,0.8,1.2,0.2,0.4
Avellino,10.0,1.4,0.6,0.4,0.4
Ayr,2.0,0.6,1.6,0.2,0.6
Bahia,13.0,2.6,1.6,0.8,0.8
Banfield,4.0,1.2,1.8,0.6,0.8
Barcelona,8.0,1.4,1.0,0.4,0.6
Bari,6.0,1.0,1.8,0.4,0.2
Barnet,9.0,2.2,1.6,0.8,1.0
Barnsley,7.0,1.2,2.0,0.8,0.6
Barracas Central,3.0,0.4,0.8,0.2,0.4
Barrow,3.0,1.4,2.6,1.0,0.8
Bastia,7.0,1.4,1.4,0.2,0.4
Bayern Munich,13.0,2.6,0.6,0.6,0.6
Belgrano (Córdoba),6.0,1.0,0.8,0.2,0.6
Benevento,4.0,1.25,1.25,0.5,0.75
Benfica,15.0,3.8,0.4,1.0,0.4
Besiktas,12.0,2.4,0.8,0.6,0.4
Betis,12.0,1.4,1.2,0.4,0.4
Beveren,9.0,1.2,1.6,0.6,0.0
Bielefeld,4.0,1.6,2.0,1.0,0.8
Birmingham,8.0,1.6,1.4,0.8,1.0
Blackburn,4.0,1.2,1.4,0.8,0.8
Blackpool,7.0,2.0,1.6,1.0,0.8
Boca Juniors,9.0,1.6,1.0,0.4,0.8
Bochum,7.0,0.8,0.8,0.2,0.4
Bohemians,7.0,1.35,1.08,0.53,
Bologna,2.0,1.0,1.6,0.4,0.4
Bolton,3.0,1.0,2.2,0.6,0.4
Bordeaux,4.0,1.4,2.3,0.6,
Boston River,5.0,1.2,1.4,0.4,0.6
Botafogo,2.0,0.6,1.6,0.4,0.4
Botafogo-SP,0.0,0.6,2.4,0.8,0.6
Boulogne,4.0,0.4,0.6,0.0,0.4
Bournemouth,4.0,1.4,1.6,0.6,1.0
Boyacá Chicó FC,8.0,1.2,0.8,0.4,0.4
Bradford,9.0,0.8,0.8,0.2,0.2
Bradford City,3.0,1.0,0.0,0.0,0.0
Braunschweig,4.0,2.4,2.4,0.8,0.8
Brentford,7.0,1.6,1.0,0.4,0.8
Brescia,4.0,1.0,2.7,0.7,
Brest,6.0,1.4,1.4,0.6,0.8
Brighton,7.0,2.6,1.6,0.8,0.4
Bristol City,10.0,2.0,1.8,1.0,1.0
Bristol Rvs,12.0,2.0,1.0,0.2,0.2
Bromley,2.0,1.0,3.4,0.6,0.6
Burgos,8.0,1.6,1.2,0.6,0.6
Burnley,2.0,1.0,2.2,0.6,1.0
Burton,7.0,1.8,1.8,1.0,0.8
Buyuksehyr,4.0,1.2,2.2,0.6,0.6
CF Montréal,1.0,0.8,2.8,0.6,0.6
CRB,9.0,1.6,1.4,0.8,0.6
Cadiz,3.0,1.0,1.4,0.4,0.6
Cagliari,12.0,1.2,0.6,0.4,0.4
Cambridge,8.0,1.6,1.4,0.8,1.0
Cambuur,4.0,1.8,2.8,1.0,0.8
Cardiff,2.0,0.8,1.6,0.4,0.6
Carrarese,1.0,0.6,1.4,0.4,0.6
Casa Pia,1.0,0.2,2.8,0.4,0.2
Castellon,13.0,1.4,0.4,0.4,0.4
Catanzaro,3.0,1.2,2.0,0.6,0.6
Ceará,7.0,1.2,1.4,0.6,0.8
Celta,3.0,0.6,1.2,0.2,0.6
Celta B,7.0,1.4,1.6,0.6,0.4
Celtic,15.0,2.6,0.6,0.8,0.6
Central Córdoba (Santiago del Estero),1.0,0.4,1.4,0.4,0.4
Central Español Fútbol Club,2.0,0.4,1.4,0.4,0.4
Cercle Brugge,2.0,0.8,1.8,0.4,0.4
Cerro,10.0,1.4,1.4,0.6,0.6
Cerro Largo,4.0,0.8,1.0,0.2,0.8
Cesena,6.0,1.8,1.8,0.6,1.0
Ceuta,0.0,0.4,3.0,0.6,0.4
Chapecoense,7.0,1.6,1.8,0.8,0.8
Charleroi,12.0,1.8,0.8,0.4,0.4
Charlotte,11.0,2.0,1.0,0.6,0.6
Charlton,6.0,0.4,1.0,0.2,0.2
Chelsea,7.0,2.2,2.2,1.0,1.0
Cheltenham,8.0,2.2,1.8,1.0,1.0
Chesterfield,8.0,1.6,1.4,0.6,0.8
Chicago Fire,4.0,1.8,2.0,0.6,1.0
Clermont,4.0,0.6,1.0,0.2,0.6
Club Brugge,12.0,1.8,0.6,0.6,0.4
Cobresal,7.0,1.6,2.0,0.6,0.4
Colchester,7.0,1.0,1.4,0.4,0.6
Colo Colo,9.0,2.0,1.0,0.6,0.8
Colorado Rapids,7.0,0.6,1.4,0.4,0.2
Columbus Crew,3.0,1.4,1.8,0.8,0.6
Como,13.0,2.6,1.0,0.8,1.0
Coquimbo Unido,4.0,1.4,2.0,0.6,0.8
Cordoba,3.0,1.4,2.4,0.8,0.8
Corinthians,0.0,0.8,1.8,0.8,0.8
Coritiba,8.0,2.0,1.8,0.8,1.0
Corum,7.0,2.4,2.0,0.8,0.6
Cottbus,7.0,2.6,2.4,1.0,0.6
Cove Rangers,5.0,0.5,2.2,0.5,
Coventry,3.0,0.8,2.0,0.6,0.0
Crawley Town,4.0,1.2,2.0,0.6,0.8
Cremonese,4.0,1.2,2.2,0.8,0.6
Crewe,7.0,1.0,0.8,0.2,0.6
Criciúma,3.0,0.6,2.0,0.4,0.2
Crotone,5.0,1.3,2.2,0.6,
Cruz Azul,9.0,1.8,1.6,0.6,0.6
Cruzeiro,9.0,1.8,1.6,1.0,1.0
Crystal Palace,3.0,1.4,2.6,0.8,0.8
Cuiabá,8.0,1.4,1.0,0.4,0.6
Cultural Leonesa,5.0,1.2,1.6,0.6,0.8
Cúcuta Deportivo,7.0,1.2,1.2,0.6,0.6
D.C. United,5.0,0.6,1.4,0.6,0.4
Danubio,3.0,0.2,1.2,0.2,0.2
Darmstadt,4.0,0.8,1.6,0.6,0.4
Defensa y Justicia,10.0,1.2,0.6,0.2,0.4
Defensor Sporting,5.0,0.8,1.8,0.4,0.6
Delfín,4.0,0.4,0.8,0.0,0.2
Den Haag,1.0,1.2,2.8,0.8,0.8
Dender,3.0,1.0,2.0,0.8,0.8
Dep. A Coruna,1.0,1.0,1.0,0.0,1.0
Deportes Concepcion,8.0,1.0,0.6,0.0,0.4
Deportes Limache,9.0,1.6,1.0,0.6,0.2
Deportes Tolima,10.0,1.2,0.8,0.6,0.6
Deportivo Cali,6.0,1.4,1.4,0.6,1.0
Deportivo Cuenca,5.0,0.6,1.0,0.2,0.4
Deportivo Maldonado,7.0,0.8,0.6,0.0,0.0
Deportivo Pasto,5.0,1.0,1.2,0.4,0.6
Deportivo Pereira,5.0,0.8,1.6,0.6,0.6
